gene1,gene2,lag,p-value
AAAS,AARS,1,0.3592427293572816
AAAS,AASS,1,0.3109219085935998
AAAS,ABCB11,1,0.051282125586567376
AAAS,ABCC6,1,0.44914206157967945
AAAS,ABCC9,1,0.12371586397640665
AAAS,ABCD1,1,0.07998722207716084
AAAS,ABCD4,1,0.6693010152035709
AAAS,ABHD5,1,0.08532681712161815
AAAS,ACAD9,1,0.09884650083905475
AAAS,ACADM,1,0.5153935405514634
AAAS,ACADS,1,0.16644833668176304
AAAS,ACADVL,1,0.4045319461719239
AAAS,ACAN,1,0.6788241596561001
AAAS,ACAT1,1,0.2592755634418435
AAAS,ACBD6,1,0.5522697299607185
AAAS,ACO2,1,0.14309936959912584
AAAS,ACOX1,1,0.8652820390738061
AAAS,ACP5,1,0.38790431341164955
AAAS,ACSL4,1,0.29697213598464
AAAS,ACTA2,1,0.15363433827648237
AAAS,ACTB,1,0.8276314707209187
AAAS,ACTG1,1,0.12821630202436124
AAAS,ACTL6A,1,0.6200338187963405
AAAS,ACVR1,1,0.18435174052169256
AAAS,ACY1,1,0.18096940521541033
AAAS,ADA,1,0.37744235903780504
AAAS,ADAR,1,0.010243979817585873
AAAS,ADAT3,1,0.30407385962093886
AAAS,ADCK3,1,0.20394125273869215
AAAS,ADCY5,1,0.47164648210877513
AAAS,ADGRG1,1,0.5789426901485838
AAAS,ADGRG6,1,0.6411788806098734
AAAS,ADK,1,0.2390566980709712
AAAS,ADNP,1,0.11341173704751438
AAAS,ADPRHL2,1,0.0901189202545986
AAAS,ADRA2B,1,0.09039986560970326
AAAS,ADSL,1,0.6592813696084631
AAAS,AFF2,1,0.5410089547962573
AAAS,AFF4,1,0.7285093132758336
AAAS,AFG3L2,1,0.504529214566522
AAAS,AGA,1,0.28921621813884374
AAAS,AGL,1,0.9672372296882892
AAAS,AGPS,1,0.682779277446205
AAAS,AGTR2,NaN,NaN
AAAS,AGXT,1,0.584867145641006
AAAS,AHCY,1,0.6031331037194853
AAAS,AHDC1,1,0.44543714419705277
AAAS,AHI1,1,0.45344468035748364
AAAS,AIFM1,1,0.22978120190151866
AAAS,AIMP1,1,0.8686669344186818
AAAS,AIPL1,1,0.33600493455179653
AAAS,AIRE,1,0.795902224340113
AAAS,AK1,1,0.6902768456777104
AAAS,AK2,1,0.6777421262536626
AAAS,AKR1D1,1,0.023957255171890315
AAAS,AKT1,1,0.3032789584010341
AAAS,AKT3,1,0.7003114216098119
AAAS,ALAD,1,0.7881550587884852
AAAS,ALDH18A1,1,0.3046018396820757
AAAS,ALDH3A2,1,0.2968233371983972
AAAS,ALDH4A1,1,0.10604867726946478
AAAS,ALDH5A1,1,0.8617108388880415
AAAS,ALDH7A1,1,0.9818634081068373
AAAS,ALDOA,1,0.18074050541331624
AAAS,ALDOB,1,0.20289403408677828
